,annee,classement,specialite,ville
0,2010,0.1275862, anatomie et cytologie pathologique,Amiens
1,2010,0.4900862, anatomie et cytologie pathologique,Angers
2,2010,0.5399425, anatomie et cytologie pathologique,Besançon
3,2010,0.4301724, anatomie et cytologie pathologique,Bordeaux
4,2010,0.4770115, anatomie et cytologie pathologique,Brest
5,2010,0.5689655, anatomie et cytologie pathologique,Caen
6,2010,0.39683908, anatomie et cytologie pathologique,Clermont-Ferrand
7,2010,0.45948276, anatomie et cytologie pathologique,Dijon
8,2010,0.4591954, anatomie et cytologie pathologique,Grenoble
9,2010,0.38922414, anatomie et cytologie pathologique,Lille
10,2010,0.42227012, anatomie et cytologie pathologique,Lyon
11,2010,0.17212644, anatomie et cytologie pathologique,Marseille
12,2010,0.17456897, anatomie et cytologie pathologique,Montpellier
13,2010,0.48318964, anatomie et cytologie pathologique,Nancy
14,2010,0.30632183, anatomie et cytologie pathologique,Nantes
15,2010,0.2895115, anatomie et cytologie pathologique,Nice
16,2010,0.36824712, anatomie et cytologie pathologique,Paris
17,2010,0.5182471, anatomie et cytologie pathologique,Poitiers
18,2010,0.5722701, anatomie et cytologie pathologique,Reims
19,2010,0.50416666, anatomie et cytologie pathologique,Rennes
20,2010,0.5708333, anatomie et cytologie pathologique,Rouen
21,2010,0.4308908, anatomie et cytologie pathologique,Saint-Etienne
22,2010,0.4619253, anatomie et cytologie pathologique,Strasbourg
23,2010,0.40632185, anatomie et cytologie pathologique,Toulouse
24,2010,0.21738505, anatomie et cytologie pathologique,Tours
25,2010,0.44051725, anesthésie-réanimation,Amiens
26,2010,0.39597702, anesthésie-réanimation,Angers
27,2010,0.42528737, anesthésie-réanimation,Besançon
28,2010,0.28275862, anesthésie-réanimation,Bordeaux
29,2010,0.470977, anesthésie-réanimation,Brest
30,2010,0.45775864, anesthésie-réanimation,Caen
31,2010,0.42456895, anesthésie-réanimation,Clermont-Ferrand
32,2010,0.42155173, anesthésie-réanimation,Dijon
33,2010,0.15416667, anesthésie-réanimation,Grenoble
34,2010,0.41954023, anesthésie-réanimation,La RéunionIndien
35,2010,0.3393678, anesthésie-réanimation,Lille
36,2010,0.44698277, anesthésie-réanimation,Limoges
37,2010,0.26034483, anesthésie-réanimation,Lyon
38,2010,0.30962643, anesthésie-réanimation,Marseille
39,2010,0.44123563, anesthésie-réanimation,Martinique/Pointe-à-Pitre
40,2010,0.15301724, anesthésie-réanimation,Montpellier
41,2010,0.37083334, anesthésie-réanimation,Nancy
42,2010,0.31264368, anesthésie-réanimation,Nantes
43,2010,0.28132185, anesthésie-réanimation,Nice
